@relation usgs-averages

@attribute 17.95780016 numeric
@attribute -66.39216119 numeric
@attribute 15.11 numeric

@data
39.376723,-84.56328,11.19
40.183361,-91.829778,62.36
32.553644,-117.061603,45.79
38.807611,-93.323361,186.06
35.192,-79.46475,42.44
41.547879,-71.542839,11.83
18.428086,-66.511449,23.13
32.687794,-117.085597,133.22
41.778586,-100.525161,14.69
31.136342,-81.490934,-8.39
35.526667,-80.878333,19.7
39.366639,-78.888861,26.27
37.515575,-91.111212,131.74
29.867797,-99.567189,248.04
39.274218,-85.895547,17.55
35.068425,-89.74564,100.98
36.904167,-93.573,33.62
36.859316,-76.586341,137.13
41.583058,-102.617397,329.97
31.300736,-84.322964,43.09
34.077411,-117.29515,117.23
41.363722,-73.74875,15.43
33.055672,-117.046397,16.91
40.041472,-75.179333,16.14
39.781225,-75.167401,105.19
40.460444,-77.168694,14.01
35.336806,-81.262069,41.01
37.202368,-76.569397,26.12
32.778092,-117.120856,18.74
41.495319,-103.757619,170.41
36.933874,-112.767984,72.36
41.460889,-80.178417,25.43
37.870155,-76.317412,57.31
36.869501,-88.653661,9.67
36.509193,-101.735718,234.4
33.859258,-117.234569,67.37
41.863889,-78.36775,103.49
38.949555,-77.366652,15.6
34.134511,-117.372681,318.1
39.868139,-75.188139,15.98
39.306944,-91.480556,101
32.591236,-117.053892,-19.63
34.455095,-87.482246,9.23
34.026769,-117.060878,284.85
38.192353,-76.919137,9.67
37.014786,-76.893874,132.78
37.870155,-76.317412,57.31
31.136342,-81.490934,-8.39
32.616597,-117.059411,116.46
34.089361,-117.355669,281.95
37.615944,-93.254278,62.6
32.553644,-117.061603,16.89
39.465917,-77.836083,50.17
32.659036,-117.085578,123.29
34.519433,-90.772633,18.8
35.336806,-81.262069,46.67
42.049816,-72.970937,6.83
36.70765,-76.129379,77.09
33.087344,-116.974756,65.27
37.745,-77.204904,59.19
32.024381,-80.853166,8.1
33.372589,-81.979519,39.59
37.298861,-93.305639,138.53
39.162504,-94.394673,29.49
40.48087,-87.359738,13.98
41.416194,-78.545194,4.22
36.964316,-76.726069,4.48
33.482722,-117.075889,326.69
32.737761,-117.072239,223.78
32.687794,-117.085597,98.13
34.115114,-117.311744,230.09
36.796317,-76.011608,7.37
38.246333,-81.658556,18.5
33.980278,-78.095278,41.59
36.70765,-76.129379,73.18
38.777067,-75.258867,9.15
40.082972,-93.972472,131.24
41.397263,-86.857801,7.02
36.933874,-112.767984,72.36
29.790923,-95.586361,348.99
38.246333,-81.658556,18.5
37.87035,-76.317151,146.05
32.553644,-117.061603,45.75
40.983925,-87.237526,31.16
33.087344,-116.974756,65.27
40.837222,-99.986111,9.01
37.311497,-81.978083,21.69
37.36725,-94.617361,254.04
38.367944,-82.512472,35.38
36.60904,-76.966628,115.37
39.700083,-93.303333,15.49
35.190556,-79.503889,81.39
38.540611,-92.094639,181.24
39.802335,-75.289631,8.26
36.691043,-76.009485,2.41
38.908889,-91.575556,248.15
33.000696,-92.749881,268.22
32.591006,-117.083475,13.75
33.902311,-117.262278,12.76
35.526667,-80.878333,23.98
31.43825,-84.185028,43.56
38.335667,-80.490918,24.56
35.77105,-81.147347,40.9
40.765639,-77.880694,103.73
39.362861,-90.905306,78.18
29.495278,-98.595556,177.56
37.094222,-93.827833,153.98
38.35025,-90.990389,65.05
33.463203,-117.104328,94.26
29.495278,-98.595556,177.56
41.537756,-102.867703,79.1
34.777759,-120.46322,68.6
39.979778,-84.148552,11.1
37.87025,-76.317293,105.3
32.416917,-85.919917,15.87
35.213403,-85.221069,18.53
18.012882,-66.786092,8.62
33.231769,-92.540047,272.62
36.965578,-76.419705,100.04
18.44428,-66.338169,27.42
34.935994,-80.697572,31.19
34.121139,-117.385061,395.36
39.351212,-77.929719,23
39.979778,-84.148552,11.1
35.692611,-82.072944,24.75
38.907778,-91.4475,356.36
39.898607,-95.088029,5.47
29.791338,-95.333826,171.73
38.4635,-93.998472,104.1
34.441969,-119.740281,395.62
37.656753,-77.374564,178.13
40.622045,-75.154619,7.97
29.438565,-99.283374,206.79
37.365704,-76.720922,128.05
36.607096,-76.873571,176.38
37.882972,-93.303917,51.43
38.696472,-93.171833,177.45
37.311497,-81.978083,21.69
33.500472,-117.016056,85.15
36.888222,-89.55275,8.3
36.049,-90.292278,-20.08
36.779472,-89.356028,10.89
36.766185,-76.128687,11.76
40.460444,-77.168694,14.01
32.616597,-117.059411,64.22
35.302778,-82.628333,32.73
34.935994,-80.697572,31.19
34.726,-80.843333,30.02
39.573103,-86.269435,13.94
38.204694,-91.179444,183.3
33.172947,-80.037861,58.78
29.790784,-95.586611,10.84
37.535528,-90.301778,99.24
39.889361,-77.614611,79.64
39.66899,-77.01526,2.94
40.154972,-76.822917,18.68
36.455111,-89.923028,1.36
40.588158,-74.756551,26.05
40.889889,-78.811889,35.6
34.975194,-81.058806,20.65
37.064833,-93.549806,173.49
37.42666,-76.969891,114.57
37.870294,-76.31722,158.6
40.942028,-98.626833,33.9
35.186528,-89.856806,70.75
37.205417,-94.506667,49.42
40.895667,-79.633917,20.42
39.741611,-77.380583,103.01
40.626194,-80.108389,6.52
32.591006,-117.083475,24.75
37.599278,-90.141778,168.87
36.727221,-110.263188,169.55
38.657972,-92.780139,136.56
40.4145,-78.453389,11.36
37.106611,-92.413167,589.78
32.591006,-117.083475,24.75
38.364016,-78.710855,69.31
37.311497,-81.978083,21.69
36.92515,-77.177468,61.71
36.904167,-93.573,33.62
35.821028,-90.856806,86.16
32.294538,-106.803338,43.53
38.845222,-75.665694,15.28
32.831694,-107.303389,12.67
32.591006,-117.083475,27.09
36.648861,-93.229667,165.03
36.804039,-76.734958,-0.28
36.607096,-76.873571,176.38
34.104142,-117.28645,127.29
33.244156,-92.691447,278.08
36.70765,-76.129379,73.18
34.012917,-117.036392,358.77
36.5555,-76.436278,0.75
38.805819,-78.789639,13.41
32.682081,-117.112381,12.15
39.741158,-85.135798,15.77
36.696239,-76.414989,1.68
36.720583,-94.205167,191.81
33.5475,-90.543889,29.8
37.780167,-90.407389,79.6
40.047694,-94.816306,9.06
36.490834,-109.948173,374.3
40.154972,-76.822917,18.68
34.455095,-87.482246,9.23
37.744917,-77.204926,185.23
33.500472,-117.016056,330.71
37.042964,-77.194656,99.79
37.393944,-94.091333,295.15
32.718933,-117.109947,87.04
37.429591,-76.891075,126.69
32.831694,-107.303389,12.67
39.979778,-84.148552,11.1
36.779472,-89.356028,10.89
37.938167,-90.782194,206
32.687794,-117.085597,125.08
39.389205,-92.261011,123.62
39.868139,-75.188139,15.98
37.300049,-92.163493,271.99
29.790923,-95.586361,348.99
37.42668,-76.969908,11.76
34.777759,-120.46322,80.82
33.463203,-117.104328,94.26
33.482722,-117.075889,97.29
36.948417,-91.003722,16.94
40.041472,-75.179333,16.14
39.322194,-78.056056,32.42
39.203945,-84.783561,23.65
29.867797,-99.567189,248.04
36.859316,-76.586341,136.67
38.981389,-92.991111,29
40.184835,-74.200143,40.51
34.118492,-117.274372,167.08
37.882972,-93.303917,51.43
36.964316,-76.726069,145.76
35.186528,-89.856806,70.75
