@relation tobs-averages

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
41.93,-85.6386,-63
35.1183,-97.67,-30.5
41.6397,-84.9897,-63
47.6811,-117.6267,-72.5
46.0336,-116.3919,-169.5
29.8833,-97.9494,30.181818
43.115,-74.4236,-54.222222
35.7586,-82.2711,-33
37.8117,-95.4456,-73.2
41.25,-111.41,-63.428571
38.2575,-119.2286,-167
40.6653,-86.955,-63
36.6953,-78.8808,-61.25
43.66,-109.01,-250
44.9131,-73.8222,-72.5
33.1111,-91.9481,10.484848
38.67,-119.82,-42
39.32,-111.49,-74
41.3242,-88.9858,-56
41.7092,-87.8761,-56
35.4606,-81.3289,-50
41.9342,-88.7756,-56
41.1247,-84.5919,-63
38.3833,-81.8344,-46
30.7931,-94.1819,10.484848
30.1853,-82.5942,128
35.6031,-83.7781,-50
45.0417,-93.7903,-161
45.1,-121.75,-156
41.36,-106.23,-87
46.1825,-103.4061,-28
30.4292,-91.2069,65.5
38.85,-120.08,-42
63.6772,-144.6011,-149
60.5181,-148.093,-28.666667
40.1275,-79.4058,-98.5
68.13,-149.48,-103.966667
39.7808,-79.0411,-98.5
39.2811,-81.5572,-61.25
39.13,-111.44,-74
40.345,-115.6206,-85.666667
33.2119,-87.6161,10.484848
33.4783,-109.7517,-133
37.1431,-114.0214,0
38.3431,-89.3586,27.5
40.0714,-102.2328,-94
41.33,-106.5,-87
44.3867,-97.5606,-103.966667
33.8642,-79.7297,-26.285714
40.6564,-118.1631,-61
43.6656,-123.3275,-14
37.9497,-82.4047,-46
46.87,-121.53,27
44.2181,-100.7194,-111.5
37.6497,-86.4308,10.484848
38.91,-81.0844,-61.25
25.9492,-81.7139,200
26.0283,-80.1342,200
33.9825,-112.3617,72
44.9197,-69.2417,-103.966667
32.8672,-116.4194,126
34.0044,-100.825,-70.75
43.3339,-88.2978,-103.966667
41.6458,-80.425,-82
36.8825,-83.8819,-76.142857
35.3322,-112.8797,-37.25
43.0719,-88.0294,-103.966667
39.1247,-97.7047,-73.2
42.3114,-78.9083,-98.5
45.07,-116.45,-131
39.2078,-111.0125,-74
36.0336,-90.4978,10.484848
35.5894,-89.2586,10.484848
35.0247,-78.2758,-26.285714
38.7583,-120.5031,-42
41.1019,-72.3731,1
33.8472,-97.6528,-30.5
32.8556,-100.4611,-41.777778
38.3422,-83.1036,-46
36.3408,-86.8275,-35
33.5619,-82.3389,-26.285714
44.2764,-72.4153,-54.222222
37.6167,-93.3911,-56.333333
33.2097,-117.395,126
32.7669,-115.5617,126
42.4697,-73.9267,-109.333333
33.8647,-117.8425,-37.25
41.53,-116.01,-85.666667
38.2894,-79.8186,-83
44.44,-111.99,-133
30.9844,-103.7403,-41.777778
38.0636,-103.2153,-161
42.1611,-83.7819,-82
32.7225,-113.9192,72
39.1506,-90.7847,0
39.5,-111.73,-74
34.6892,-86.8819,10.484848
42.7,-120.8,-48.75
39.3475,-85.4892,-63
46.56,-115.29,-148
28.4658,-98.3539,30.181818
45.6069,-121.2047,-29
40.4583,-86.1758,-63
37.9233,-95.4242,-73.2
42.4422,-76.7586,-54.222222
44.39,-122.17,34
44.5228,-116.0481,-144
34.3347,-80.703,-26.285714
40.5614,-86.3425,-63
37.99,-107.2,-83
39.0294,-98.13,-142
41.2019,-90.7417,-103.966667
45.2436,-109.7311,-42.666667
41.7392,-77.9711,-98.5
44.9933,-84.1625,-103.966667
34.4722,-101.3006,-70.75
40.3689,-105.5108,-109.333333
44.54,-115.56,-144
44.21,-110.67,-115
46.1972,-108.0039,-24.75
43.6303,-72.5072,-54.222222
37.2911,-107.8564,-44
38.3483,-88.8533,27.5
43.2794,-92.8106,-103.966667
34.4883,-87.2989,10.484848
33.4517,-90.5097,10.484848
40.2575,-94.0269,-103.966667
33.1986,-101.3744,-70.75
59.78,-150.76,-28.666667
42.1389,-74.0914,-109.333333
44.35,-107.01,-24.75
32.775,-92.4075,10.484848
39.8,-76.05,11.5
65.4939,-144.6422,-149
41.6775,-93.5822,-103.966667
37.0244,-85.6986,-35
30.8839,-87.7853,10.484848
37.9672,-120.3872,-23
44.7303,-92.4586,-103.966667
30.0719,-91.0278,65.5
40.7406,-123.2078,-48.75
33.6731,-111.1508,72
48.5883,-109.2256,-24.75
33.7183,-102.7586,-139
40.7597,-92.4394,-103.966667
45.73,-114.48,-60.5
43.3042,-91.7953,-103.966667
44.9633,-92.3906,-103.966667
41.9153,-111.9128,-89
41.55,-72.7167,1
37.9339,-114.4522,-94
29.6339,-97.0644,30.181818
43.2422,-88.2889,-103.966667
48.31,-114.84,-148
47.0239,-92.07,-103.966667
41.8275,-74.9506,-109.333333
35.3694,-111.5436,-56.8
36.5575,-105.2628,-83
40.2156,-100.6203,-142
42.3489,-77.3478,-98.5
39.4078,-88.7739,10.484848
41.3975,-110.0856,-63.428571
41.7372,-87.7775,-56
43.7047,-92.5644,-103.966667
44.9367,-109.1375,-42.666667
39.2728,-79.3683,-78
42.6178,-71.9158,-54.222222
40.86,-110.8,-63.428571
46.8886,-102.3192,-28
47.5689,-122.6828,-18
43.3194,-88.1681,-103.966667
43.1433,-70.95,-54.222222
39.7706,-77.0325,-68.666667
39.8114,-99.9386,-142
45.8472,-119.6933,-85.666667
37.33,-105.07,-193
41.4992,-80.4681,-82
42.3328,-75.2297,-54.222222
30.8694,-100.5994,11
31.6419,-89.5572,29
46.4922,-115.8006,-148
36.9167,-96.1,-56.333333
45.9228,-108.2444,-24.75
43.3086,-114.0667,-151
44.2839,-83.5036,-63
40.0575,-106.3681,-109.333333
35.4156,-91.6469,10.484848
48.0781,-99.2656,-28
33.3433,-103.6783,-139
38.3703,-96.5483,-73.2
39.9167,-76.75,-68.666667
31.5339,-84.1489,39
40.5764,-105.0858,-78
21.4517,-157.8489,106
45.99,-120.68,-29
37.2714,-80.7131,-61.25
42.6981,-83.4717,-82
39.14,-111.51,-74
35.3028,-93.6369,10.484848
37.3133,-122.185,43
60.2036,-154.3164,12
38.9644,-97.0119,-73.2
60.4922,-149.8089,-28.666667
47.4144,-121.7561,-18
40.16,-111.21,-94
34.5883,-118.0939,-37.25
38.9111,-101.5853,-142
41.8186,-113.4133,-151
37.4417,-105.8614,-112.666667
37.5594,-108.6636,-56.8
41.0664,-86.2097,-63
35.9494,-79.2386,-26.285714
26.8639,-80.6256,220.333333
31.7044,-98.0853,10.484848
70.4322,-150.4094,-103.966667
37.9667,-87.5833,10.484848
42.22,-122.37,-48.75
40.61,-109.89,-150
27.2417,-82.3161,220.333333
42.6006,-114.7453,-122.75
40.14,-105.59,-109.333333
43.17,-110.14,-230
28.2939,-97.3297,30.181818
61.7103,-149.2317,6
29.0892,-97.3433,30.181818
44.8197,-120.7533,-156
40.075,-95.5189,-103.966667
40.1808,-118.51,-22
37.52,-112.27,-140.5
40.7708,-111.8964,-122.75
45.6775,-94.8022,-44.333333
