@relation hs2012

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
37.790506,-122.396252,1683889.166667
37.786086,-122.404306,2000000
37.79363,-122.414812,1800000
37.790214,-122.421362,664000
37.761238,-122.468591,488333.333333
37.788962,-122.437527,873000
37.791544,-122.42211,664000
37.761419,-122.411866,635000
37.768294,-122.421876,775000
37.782983,-122.407883,715000
37.783184,-122.407694,715000
37.788717,-122.418436,664000
37.786212,-122.404303,2000000
37.790506,-122.396252,1683889.166667
37.793212,-122.423746,664000
37.771218,-122.387925,966010
37.794845,-122.421821,664000
37.776381,-122.44569,765000
37.800913,-122.419097,1100000
37.737565,-122.473195,995000
37.735217,-122.422682,485000
37.771218,-122.387925,966010
37.79431,-122.42961,1335000
37.733981,-122.433437,874500
37.763857,-122.403233,635000
37.778584,-122.404172,555000
37.788252,-122.403079,2000000
37.798379,-122.434929,1465000
37.735661,-122.436128,874500
37.787737,-122.390361,865666.666667
37.790506,-122.396252,1683889.166667
37.786212,-122.404303,2000000
37.793228,-122.40891,1800000
37.771144,-122.389123,980930
37.779454,-122.396676,575300
37.771218,-122.387925,966010
37.790506,-122.396252,1683889.166667
37.771218,-122.387925,966010
37.759837,-122.4357,1064000
37.745218,-122.431862,874500
37.793212,-122.423746,664000
37.793212,-122.423746,664000
37.771218,-122.387925,966010
37.781694,-122.481297,488333.333333
37.771144,-122.389123,980930
37.753466,-122.469724,488333.333333
37.805684,-122.419661,1100000
37.790506,-122.396252,1683889.166667
37.793212,-122.423746,664000
37.771218,-122.387925,966010
37.785786,-122.392112,1918750
37.72705,-122.395153,224727
37.760811,-122.455503,2625000
37.797573,-122.398275,2195000
37.790506,-122.396252,1683889.166667
37.788176,-122.392522,865666.666667
37.73598,-122.39557,380000
37.788038,-122.430024,837000
37.763971,-122.504653,461000
37.774183,-122.394756,915000
37.785794,-122.424669,837000
37.709845,-122.467858,270000
37.789945,-122.412727,520000
37.744398,-122.42123,874500
37.790506,-122.396252,1683889.166667
37.761587,-122.443691,820637
37.786236,-122.389074,865666.666667
37.744017,-122.424846,874500
37.735021,-122.425495,485000
37.761537,-122.437592,932500
37.733129,-122.41458,224727
37.76062,-122.474805,488333.333333
37.745178,-122.415507,712000
37.762785,-122.438532,932500
37.785794,-122.424669,837000
37.788228,-122.440683,873000
37.70865,-122.425775,370000
37.797693,-122.435908,1465000
37.745382,-122.417702,712000
37.794845,-122.421821,664000
37.790506,-122.396252,1683889.166667
37.783536,-122.421393,649900
37.786126,-122.434389,585000
37.763857,-122.403233,635000
37.787114,-122.42414,837000
37.778702,-122.433241,585000
37.78069,-122.38922,1250000
37.79073,-122.402993,2000000
37.764003,-122.417959,775000
37.746964,-122.406261,635000
37.71025,-122.467494,270000
37.756513,-122.441759,517000
37.799718,-122.432113,1465000
37.799048,-122.44065,970000
37.794716,-122.407831,1800000
37.768294,-122.421876,775000
37.755845,-122.43675,815000
37.768294,-122.421876,775000
37.790506,-122.396252,1683889.166667
37.787175,-122.449908,542000
37.786744,-122.434481,750000
37.763907,-122.420719,1064000
37.779454,-122.396676,575300
37.798253,-122.399172,2195000
37.754334,-122.444984,517000
37.771693,-122.510357,461000
37.779983,-122.44022,585000
37.731708,-122.488605,550000
37.744988,-122.416491,712000
37.763907,-122.420719,1064000
37.709211,-122.459528,270000
37.735842,-122.398342,420000
37.757937,-122.393128,635000
37.786212,-122.404303,2000000
37.771144,-122.389123,980930
37.784971,-122.424299,837000
37.778455,-122.493547,488333.333333
37.786236,-122.389074,865666.666667
37.737159,-122.411792,712000
37.796549,-122.435581,1465000
37.771218,-122.387925,966010
37.771588,-122.388536,966010
37.771144,-122.389123,980930
37.783865,-122.460933,542000
37.783571,-122.390701,1175000
37.790506,-122.396252,1683889.166667
37.710971,-122.404376,370000
37.785786,-122.392112,1918750
37.771218,-122.387925,966010
37.714149,-122.401075,224727
37.77493,-122.419416,208000
37.793212,-122.423746,664000
37.777615,-122.391907,1200000
37.785794,-122.424669,837000
37.803055,-122.423908,1100000
37.785392,-122.463509,542000
37.748436,-122.432181,874500
37.793685,-122.420946,664000
37.777431,-122.393707,620000
